musica,artista,genero,duracao_min,ano,plays
Bohemian Rhapsody,Queen,Rock,5.92,1975,154000
Evidências,Chitãozinho & Xororó,Sertanejo,4.50,1990,98000
Ai Se Eu Te Pego,Michel Teló,sertanejo,2.92,2011,212000
Blinding Lights,The Weeknd,Pop,3.33,2019,301000
Águas de Março,Tom Jobim,MPB,2.75,1972,41000
HUMBLE.,Kendrick Lamar,Hip Hop,2.95,2017,187000
Garota de Ipanema,Tom Jobim & Vinicius de Moraes,MPB,2.50,1962,76000
Smells Like Teen Spirit,Nirvana,Rock,5.02,1991,165000
Ela é do Tipo,MC Kevinho,Funk,2.92,2017,223000
Levels,Avicii,eletronica,3.32,2011,134000
One More Time,Daft Punk,Eletrônica,5.33,2000,89000
Shape of You,Ed Sheeran,pop ,3.88,2017,310000
Fio de Cabelo,Chrystian & Ralf,Sertanejo,3.75,1989,34000
Tempo Perdido,Legião Urbana,ROCK,4.02,1985,112000
Vida Loka Parte 2,Racionais MC's,Hip Hop,5.05,2002,97000
Aquarela,Toquinho,MPB,4.05,1983,23000
Bum Bum Tam Tam,MC Fioti,Funk,3.25,2017,
Titanium,David Guetta ft. Sia,Eletrônica,-4.08,2011,145000
Someone Like You,Adele,Pop,,2011,198000
Hotel California,Eagles,Rock,6.50,1899,121000
Ai Se Eu Te Pego,Michel Teló,Sertanejo,2.92,2011,212500
