aluno_id,horas_estudo_semana,nota_prova
1,9.6,9.9
2,12.3,8.0
3,8.6,8.4
4,7.9,6.5
5,13.1,9.7
6,8.3,7.9
7,10.5,8.1
8,9.9,8.1
9,13.1,8.3
10,7.1,7.4
11,15.6,8.8
12,6.1,5.3
13,10.9,7.2
14,10.2,8.3
15,5.7,7.6
16,11.4,8.7
17,7.5,7.0
18,4.6,5.6
19,12.2,9.9
20,3.5,4.6
21,5.2,5.4
22,8.6,8.6
23,13.1,9.3
24,11.8,10.0
25,9.5,8.1
26,2.8,2.6
27,5.9,5.0
28,6.7,8.2
29,4.5,6.8
30,2.3,3.0
31,8.8,7.4
32,12.0,10.0
33,6.4,5.6
34,13.0,8.0
35,3.2,4.7
36,4.3,4.8
37,8.7,7.7
38,6.1,6.2
39,11.5,8.8
40,10.5,9.5
41,6.3,6.6
42,3.5,5.0
43,5.9,4.4
44,10.6,8.2
45,11.7,7.8
46,6.1,5.3
47,2.3,2.3
48,3.1,3.7
49,10.1,9.0
50,6.3,5.3
51,6.4,6.6
52,4.2,4.6
53,4.2,4.7
54,12.9,9.7
55,10.3,8.7
56,5.4,7.2
57,8.4,7.4
58,9.2,7.2
59,18.7,9.4
60,4.0,5.1
61,9.1,8.0
62,12.8,7.8
63,17.5,9.5
64,5.3,6.0
65,6.2,8.7
66,11.5,10.0
67,2.7,2.9
68,9.6,7.7
69,20.0,8.3
70,10.2,7.6
71,1.4,2.4
72,4.6,6.5
73,5.4,5.3
74,14.4,8.5
75,7.2,5.1
76,2.3,3.0
77,7.7,6.3
78,8.7,7.2
79,5.8,5.4
80,4.1,4.9
