mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
23.0,4,120.0,97.0,2506,14.5,72,japan,toyouta corona mark ii (sw)
29.0,4,97.0,75.0,2171,16.0,75,japan,toyota corolla
32.4,4,108.0,75.0,2350,16.8,81,japan,toyota corolla
19.0,4,121.0,112.0,2868,15.5,73,europe,volvo 144ea
38.0,4,91.0,67.0,1995,16.2,82,japan,datsun 310 gx
33.5,4,98.0,83.0,2075,15.9,77,usa,dodge colt m/m
26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12 (sw)
14.0,8,318.0,150.0,4237,14.5,73,usa,plymouth fury gran sedan
28.0,4,97.0,92.0,2288,17.0,72,japan,datsun 510 (sw)
32.4,4,107.0,72.0,2290,17.0,80,japan,honda accord
21.5,6,231.0,115.0,3245,15.4,79,usa,pontiac lemans v6
41.5,4,98.0,76.0,2144,14.7,80,europe,vw rabbit
17.0,8,305.0,130.0,3840,15.4,79,usa,chevrolet caprice classic
33.5,4,85.0,70.0,1945,16.8,77,japan,datsun f-10 hatchback
29.0,4,135.0,84.0,2525,16.0,82,usa,dodge aries se
17.0,8,302.0,140.0,3449,10.5,70,usa,ford torino
36.0,4,135.0,84.0,2370,13.0,82,usa,dodge charger 2.2
43.4,4,90.0,48.0,2335,23.7,80,europe,vw dasher (diesel)
14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet impala
20.0,6,232.0,100.0,2914,16.0,75,usa,amc gremlin
26.0,4,116.0,75.0,2246,14.0,74,europe,fiat 124 tc
16.0,6,258.0,110.0,3632,18.0,74,usa,amc matador
15.0,8,318.0,150.0,3399,11.0,73,usa,dodge dart custom
15.5,8,350.0,170.0,4165,11.4,77,usa,chevrolet monte carlo landau
15.0,8,429.0,198.0,4341,10.0,70,usa,ford galaxie 500
18.5,8,360.0,150.0,3940,13.0,79,usa,chrysler lebaron town @ country (sw)
31.5,4,98.0,68.0,2045,18.5,77,japan,honda accord cvcc
20.0,6,225.0,100.0,3651,17.7,76,usa,dodge aspen se
21.0,6,231.0,110.0,3039,15.0,75,usa,buick skyhawk
30.0,4,135.0,84.0,2385,12.9,81,usa,plymouth reliant
19.2,8,305.0,145.0,3425,13.2,78,usa,chevrolet monte carlo landau
24.5,4,151.0,88.0,2740,16.0,77,usa,pontiac sunbird coupe
13.0,8,350.0,155.0,4502,13.5,72,usa,buick lesabre custom
22.0,6,232.0,112.0,2835,14.7,82,usa,ford granada l
20.5,6,231.0,105.0,3425,16.9,77,usa,buick skylark
17.5,8,305.0,140.0,4215,13.0,76,usa,chevrolet chevelle malibu classic
18.0,6,225.0,95.0,3785,19.0,75,usa,plymouth fury
19.2,6,231.0,105.0,3535,19.2,78,usa,pontiac phoenix lj
38.0,4,91.0,67.0,1965,15.0,82,japan,honda civic
27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510
15.5,8,400.0,190.0,4325,12.2,77,usa,chrysler cordoba
14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina
20.0,6,156.0,122.0,2807,13.5,73,japan,toyota mark ii
19.0,6,232.0,100.0,2901,16.0,74,usa,amc hornet
18.0,6,232.0,100.0,2789,15.0,73,usa,amc gremlin
15.0,6,258.0,110.0,3730,19.0,75,usa,amc matador
11.0,8,400.0,150.0,4997,14.0,73,usa,chevrolet impala
31.0,4,91.0,68.0,1970,17.6,82,japan,mazda glc custom
22.0,6,225.0,100.0,3233,15.4,76,usa,plymouth valiant
13.0,8,440.0,215.0,4735,11.0,73,usa,chrysler new yorker brougham
17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst
20.5,6,200.0,95.0,3155,18.2,78,usa,chevrolet malibu
28.0,4,151.0,90.0,2678,16.5,80,usa,chevrolet citation
32.0,4,135.0,84.0,2295,11.6,82,usa,dodge rampage
29.8,4,89.0,62.0,1845,15.3,80,europe,vokswagen rabbit
18.0,6,171.0,97.0,2984,14.5,75,usa,ford pinto
28.8,6,173.0,115.0,2595,11.3,79,usa,chevrolet citation
21.0,6,200.0,85.0,2587,16.0,70,usa,ford maverick
33.5,4,151.0,90.0,2556,13.2,79,usa,pontiac phoenix
